ID,EQUIPO,MARCA,MODELO,N/S,MAC,C/S,S/O,LICENCIA S/O,NOMBRE,CONTRASEÑA,PERIFERICOS,RAM (GB),DISCO (GB),PROCESADOR,IP,UBICACION,C. COSTO1,C. COSTO2,SEC,FECHA COMPRA,PROVEEDOR,N. FACTURA,ESTADO,FECHA DE BAJA,LICENCIA DE OFFICE,LICENCIA DE TECNOCARNE,FECHA DE M.PREVENTIVO,OBSERVACION
142,IMPRESORA,,Termica M267D,TC6Y268287,,,,,N/A,,,NO APLICA,NO APLICA,NO APLICA,,OFICINAS,,,,,,,FUNCIONANDO 100 %,,,,,
143,PERIFERICO,,Genius DX-120,X6I93180208591,,,,,N/A,,,NO APLICA,NO APLICA,NO APLICA,,OFICINAS,,,,,,,FUNCIONANDO 100 %,,,,,
144,PERIFERICO,, Genius KB-128,XP18S2809418,,,,,N/A,,,NO APLICA,NO APLICA,NO APLICA,,OFICINAS,,,,,,,FUNCIONANDO 100 %,,,,,
145,TELEFONO IP,,GXP1620,20EZ0KYF10768730,,,,,N/A,,,NO APLICA,NO APLICA,NO APLICA,,OFICINAS,,,,,,,FUNCIONANDO 100 %,,,,,
146,EQUIPO DE ESCRITORIO,,,HS175082212200,,,WIN 10 PRO,SI,MANTENIMIENTO,,,NO APLICA,NO APLICA,NO APLICA,,TALLER,,,,,,,FUNCIONANDO 100 %,,NO,NO,,
147,MONITOR,,noc 215LM00019,DEDC5HA073433,,,,,N/A,,,4 GB,320 GB,INTEL PENTIUM,,TALLER,,,,,,,FUNCIONANDO 100 %,,,,,
148,PERIFERICO,,Genius DX-120,X8J94881809764,,,,,N/A,,,NO APLICA,NO APLICA,NO APLICA,,TALLER,,,,,,,FUNCIONANDO 100 %,,,,,
149,PERIFERICO,,Smart KB-100,UD19J2306859,,,,,N/A,,,NO APLICA,NO APLICA,NO APLICA,,TALLER,,,,,,,FUNCIONANDO 100 %,,,,,
150,TELEFONO IP,,GXP1620,20EZ0KYF10768726,,,,,N/A,,,NO APLICA,NO APLICA,NO APLICA,,OFICINAS,,,,,,,FUNCIONANDO 100 %,,,,,
151,PERIFERICO,,Genius KB-100,,,,,,N/A,,,NO APLICA,NO APLICA,NO APLICA,,OFICINAS,,,,,,,FUNCIONANDO 100 %,,,,,
152,TODO EN UNO,,H3P34 627XH,03307-133-527-223,,,WIN 10 PRO,SI,CALL02,,,4 GB,1 TB,INTEL PENTIUM,,OFICINAS,,,,,,,FUNCIONANDO 100 %,,NO,SI,,
153,PERIFERICO,,Genius DX-120,X6G9286933615,,,,,N/A,,,NO APLICA,NO APLICA,NO APLICA,,OFICINAS,,,,,,,FUNCIONANDO 100 %,,,,,
154,IMPRESORA,,Termica GK420T,29J161602546,,,,,N/A,,,NO APLICA,NO APLICA,NO APLICA,,OFICINAS,,,,,,,FUNCIONANDO 100 %,,,,,
155,TELEFONO IP,,GXP-1620,20EZ0KYF10768733,,,,,N/A,,,NO APLICA,NO APLICA,NO APLICA,,OFICINAS,,,,,,,FUNCIONANDO 100 %,,,,,
156,PERIFERICO,,Genius DX-160,X1A95796300657,,,,,N/A,,,NO APLICA,NO APLICA,NO APLICA,,OFICINAS,,,,,,,FUNCIONANDO 100 %,,,,,
157,PERIFERICO,,PR1101U,BGBYV0ALAC521X,,,,,N/A,,,NO APLICA,NO APLICA,NO APLICA,,OFICINAS,,,,,,,FUNCIONANDO 100 %,,,,,
158,TODO EN UNO,,20-o200la,8CC92119P3,,,WIN 10 PRO,SI,CALL03,,,4 GB,500 GB,INTEL PENTIUM,,OFICINAS,,,,,,,FUNCIONANDO 100 %,,NO,SI,,
159,MONITOR,,Noc 215LM00019,DEDC4HA068868,,,,,N/A,,,,,,,NO APLICA,,,,,,,FUNCIONANDO 100 %,,,,,
160,MONITOR,,Noc 215M00019,DEDC5HA072454,,,,,N/A,,,,,,,NO APLICA,,,,,,,FUNCIONANDO 100 %,,,,,
161,PERIFERICO,,optical mouse,generico,,,,,N/A,,,NO APLICA,NO APLICA,NO APLICA,,NO APLICA,,,,,,,FUNCIONANDO 100 %,,,,,
162,PERIFERICO,,Genius DX-120,X8J94881809798,,,,,N/A,,,NO APLICA,NO APLICA,NO APLICA,,NO APLICA,,,,,,,FUNCIONANDO 100 %,,,,,
163,PERIFERICO,,SK-8823,4313164,,,,,N/A,,,NO APLICA,NO APLICA,NO APLICA,,NO APLICA,,,,,,,FUNCIONANDO 100 %,,,,,
164,EQUIPO DE ESCRITORIO,,Hp compaq 6005,MXL2241PM2,,,WIN 10 PRO,SI,PBX,,,NO APLICA,NO APLICA,NO APLICA,,NO APLICA,,,,,,,FUNCIONANDO 100 %,,NO,NO,,
165,PORTATIL,,15-da2027la,CND1090M9Y,,,WIN 10 PRO,SI,Gerencia ,,,8 GB,240 GB,INTEL I5,,OFICINAS,,,,,,,FUNCIONANDO 100 %,,NO,NO,,
